genome	name1	name2	coverage_overlap	compared_bases_count	consensus_SNPs	population_SNPs	popANI	conANI	percent_compared
METABAT215_MOUSE_PRE_SCAFFOLDS_1500_METASPADES__FC731_filtered.30	FC726_control_d25_FF07294012__on__MGBC_1094_reps_41_add.sorted.bam	FC726_control_d25_FF07294012__on__MGBC_1094_reps_41_add.sorted.bam	1.0	1234219	0	0	1.0	1.0	0.7055861185414453
METABAT215_MOUSE_PRE_SCAFFOLDS_1500_METASPADES__FC731_filtered.30	FC726_control_d25_FF07294012__on__MGBC_1094_reps_41_add.sorted.bam	FC727_control_d1_FF07294201__on__MGBC_1094_reps_41_add.sorted.bam	0.6598328248060755	1097464	70	0	1.0	0.9999362165866033	0.6274051558102481
METABAT215_MOUSE_PRE_SCAFFOLDS_1500_METASPADES__FC731_filtered.30	FC726_control_d25_FF07294012__on__MGBC_1094_reps_41_add.sorted.bam	FC727_control_d25_FF07294019__on__MGBC_1094_reps_41_add.sorted.bam	0.5251845853146414	802854	55	0	1.0	0.9999314943937503	0.4589806489897445
METABAT215_MOUSE_PRE_SCAFFOLDS_1500_METASPADES__FC731_filtered.30	FC726_control_d25_FF07294012__on__MGBC_1094_reps_41_add.sorted.bam	FC730_filtered_d1_FF07295364__on__MGBC_1094_reps_41_add.sorted.bam	0.7056029707215412	1217834	52	0	1.0	0.9999573012413843	0.6962190381835011
METABAT215_MOUSE_PRE_SCAFFOLDS_1500_METASPADES__FC731_filtered.30	FC726_control_d25_FF07294012__on__MGBC_1094_reps_41_add.sorted.bam	FC731_filtered_d1_FF07295373__on__MGBC_1094_reps_41_add.sorted.bam	0.41030661481201847	584338	65	1	0.9999982886616993	0.9998887630104494	0.3340580410253537
METABAT215_MOUSE_PRE_SCAFFOLDS_1500_METASPADES__FC731_filtered.30	FC726_control_d25_FF07294012__on__MGBC_1094_reps_41_add.sorted.bam	FC731_filtered_d25_FF07294190__on__MGBC_1094_reps_41_add.sorted.bam	0.7099787524733189	1233000	60	0	1.0	0.9999513381995134	0.7048892329170123
METABAT215_MOUSE_PRE_SCAFFOLDS_1500_METASPADES__FC731_filtered.30	FC726_control_d25_FF07294012__on__MGBC_1094_reps_41_add.sorted.bam	MC720_control_d1_FF07293949__on__MGBC_1094_reps_41_add.sorted.bam	0.6529908222032215	1064839	91	0	1.0	0.9999145410714672	0.6087538896108017
METABAT215_MOUSE_PRE_SCAFFOLDS_1500_METASPADES__FC731_filtered.30	FC726_control_d25_FF07294012__on__MGBC_1094_reps_41_add.sorted.bam	MC720_control_d25_FF07293981__on__MGBC_1094_reps_41_add.sorted.bam	0.6035321429994026	965484	106	0	1.0	0.9998902105058188	0.5519539952584337
METABAT215_MOUSE_PRE_SCAFFOLDS_1500_METASPADES__FC731_filtered.30	FC726_control_d25_FF07294012__on__MGBC_1094_reps_41_add.sorted.bam	MC729_filtered_d1_FF07295327__on__MGBC_1094_reps_41_add.sorted.bam	0.5840101981380114	920824	127	1	0.999998914016142	0.9998620800500422	0.5264224841943025
METABAT215_MOUSE_PRE_SCAFFOLDS_1500_METASPADES__FC731_filtered.30	FC726_control_d25_FF07294012__on__MGBC_1094_reps_41_add.sorted.bam	MC729_filtered_d25_FF07294039__on__MGBC_1094_reps_41_add.sorted.bam	0.2685411099545205	358236	26	0	1.0	0.9999274221462946	0.2047986206352464
